real,user,sys
1.876,5.125,0.000
1.890,5.234,0.000
1.818,5.016,0.000
1.860,5.031,0.000
1.791,5.016,0.000
1.919,5.266,0.000
1.853,5.141,0.000
3,100000000,
1.886,5.141,0.000
1.801,5.016,0.000
1.785,4.844,0.016
1.917,5.219,0.016
1.800,4.641,0.000
1.793,4.938,0.000
1.905,5.328,0.000
1.745,4.688,0.016
1.801,4.688,0.000
1.908,5.250,0.016
4,1,
2.030,3.313,4.125
2.059,3.141,4.797
2.103,3.563,4.266
2.035,3.047,4.688
2.126,3.266,4.750
2.081,3.203,4.656
2.023,3.234,4.578
2.076,3.297,4.313
2.073,3.641,4.078
2.095,3.250,4.844
4,10,
1.649,5.500,0.484
1.600,5.516,0.281
1.589,5.375,0.359
1.672,5.891,0.188
1.637,5.594,0.281
1.628,5.609,0.297
1.655,5.734,0.313
1.746,6.000,0.281
1.677,5.563,0.453
1.609,5.531,0.406
4,100,
1.543,5.422,0.016
1.578,5.484,0.016
1.483,5.047,0.000
1.593,5.516,0.031
1.598,5.609,0.000
1.621,5.625,0.000
1.599,5.547,0.016
1.611,5.703,0.000
1.606,5.688,0.000
1.579,5.438,0.031
4,1000,
1.535,5.234,0.016
1.583,5.594,0.000
1.629,5.688,0.000
1.611,5.594,0.000
1.580,5.531,0.016
1.661,5.828,0.016
1.512,5.391,0.000
1.647,5.703,0.000
1.621,5.656,0.000
1.589,5.578,0.000
4,10000,
1.640,5.703,0.016
1.401,5.078,0.000
1.516,5.266,0.000
1.598,5.703,0.000
1.615,5.656,0.000
1.573,5.547,0.000
1.493,5.078,0.016
1.525,5.328,0.016
1.535,5.328,0.016
1.570,5.453,0.000
4,100000,
1.592,5.453,0.016
1.560,5.406,0.000
1.540,5.500,0.000
1.664,5.828,0.000
1.628,5.672,0.016
1.553,5.375,0.000
1.618,5.641,0.016
1.543,5.469,0.000
1.639,5.766,0.000
1.523,5.328,0.000
4,1000000,
1.611,5.641,0.000
1.589,5.531,0.000
1.579,5.500,0.000
1.562,5.578,0.000
1.597,5.594,0.031
1.608,5.594,0.000
1.519,5.328,0.016
1.436,4.922,0.000
1.591,5.516,0.016
1.600,5.625,0.000
4,10000000,
1.668,5.766,0.000
1.534,5.391,0.000
1.561,5.422,0.016
1.578,5.516,0.000
1.601,5.578,0.000
1.613,5.547,0.000
1.583,5.516,0.000
1.647,5.766,0.016
1.536,5.313,0.016
1.439,5.188,0.000
4,100000000,
1.573,5.500,0.016
1.594,5.469,0.000
1.601,5.563,0.000
1.574,5.656,0.000
1.586,5.625,0.000
1.585,5.500,0.000
1.620,5.625,0.000
1.575,5.531,0.000
1.584,5.500,0.016
1.618,5.656,0.016
5,1,
2.426,4.328,6.609
2.389,4.359,6.578
2.402,4.281,6.438
2.455,4.469,6.703
2.462,4.547,6.500
2.337,3.875,6.188
2.378,3.797,6.984
2.195,3.406,6.141
2.398,4.344,6.719
2.475,4.172,7.047
5,10,
1.528,6.781,0.453
1.484,6.656,0.453
1.457,6.656,0.250
1.502,6.672,0.438
1.497,6.406,0.719
1.509,6.484,0.563
1.457,6.500,0.406
1.479,6.469,0.625
1.482,6.547,0.469
1.476,6.344,0.609
5,100,
1.332,6.109,0.000
1.358,6.203,0.000
1.359,6.344,0.016
1.473,6.672,0.016
1.454,6.859,0.016
1.423,6.500,0.000
1.290,6.016,0.016
1.387,6.375,0.000
1.252,5.984,0.000
1.288,6.016,0.000
5,1000,
1.409,6.516,0.031
1.350,6.188,0.000
1.251,5.594,0.016
1.296,5.969,0.000
1.341,6.172,0.000
1.355,6.172,0.016
1.205,5.313,0.094
1.292,5.781,0.000
1.297,5.766,0.000
1.146,5.063,0.000
5,10000,
1.370,6.328,0.000
1.357,6.422,0.000
1.416,6.516,0.000
1.416,6.547,0.000
1.367,6.313,0.000
1.363,6.188,0.000
1.355,6.188,0.000
1.412,6.641,0.000
1.344,6.297,0.000
1.412,6.609,0.016
5,100000,
1.313,6.094,0.016
1.334,6.250,0.000
1.317,6.156,0.000
1.420,6.609,0.000
1.323,6.203,0.000
1.401,6.469,0.016
1.387,6.313,0.016
1.435,6.625,0.000
1.356,6.281,0.016
1.391,6.313,0.016
5,1000000,
1.374,6.203,0.016
1.353,6.281,0.016
1.371,6.422,0.016
1.396,6.516,0.000
1.426,6.734,0.000
1.352,6.188,0.016
1.487,6.797,0.000
1.421,6.609,0.000
1.427,6.391,0.000
1.393,6.453,0.000
5,10000000,
1.271,5.828,0.000
1.324,6.203,0.000
1.346,6.313,0.000
1.391,6.484,0.000
1.402,6.484,0.000
1.377,6.453,0.000
1.438,6.641,0.016
1.429,6.609,0.000
1.376,6.266,0.000
1.401,6.609,0.000
5,100000000,
1.307,6.031,0.031
1.317,6.109,0.000
1.413,6.453,0.000
1.360,6.500,0.000
1.327,6.219,0.016
1.312,6.188,0.000
1.353,6.219,0.016
1.371,6.547,0.000
1.360,6.375,0.016
1.434,6.719,0.016
6,1,
2.577,5.031,8.844
2.582,4.422,9.531
2.605,4.859,9.281
2.626,4.891,9.531
2.596,4.672,9.438
2.594,4.453,9.469
2.613,5.063,9.188
2.691,4.688,10.031
2.496,4.469,8.953
2.674,5.281,9.281
6,10,
1.318,6.750,0.625
1.318,6.891,0.547
1.362,6.938,0.719
0.868,3.984,0.734
0.780,3.844,0.406
1.098,4.984,0.609
1.355,6.828,0.719
1.435,7.391,0.766
1.310,6.297,0.953
1.314,6.625,0.688
6,100,
1.160,6.516,0.031
1.159,6.531,0.000
1.245,6.969,0.016
1.227,6.719,0.000
1.219,6.859,0.016
1.192,6.438,0.047
1.170,6.438,0.031
1.208,6.641,0.000
1.213,6.641,0.031
1.240,6.969,0.000
6,1000,
1.188,6.563,0.000
1.243,6.922,0.000
1.188,6.672,0.000
1.200,6.781,0.000
1.140,6.391,0.000
1.251,7.047,0.000
1.221,6.813,0.000
1.125,6.297,0.000
1.270,7.078,0.016
1.162,6.625,0.000
6,10000,
1.227,6.828,0.000
1.284,7.172,0.000
1.229,6.969,0.000
1.197,6.750,0.000
1.264,7.078,0.000
1.277,7.156,0.000
1.207,6.891,0.000
1.214,6.781,0.016
1.293,7.219,0.016
1.133,6.469,0.000
6,100000,
1.185,6.719,0.000
1.250,6.953,0.016
1.083,6.141,0.000
1.148,6.266,0.047
1.118,6.297,0.000
1.245,6.813,0.000
1.184,6.797,0.000
1.181,6.688,0.000
1.196,6.781,0.000
1.201,6.734,0.000
6,1000000,
1.176,6.516,0.016
1.194,6.734,0.016
1.157,6.703,0.000
1.220,6.969,0.000
1.217,6.813,0.000
1.226,6.922,0.000
1.228,6.859,0.000
1.262,7.125,0.000
1.229,6.875,0.000
1.144,6.422,0.000
6,10000000,
1.209,6.703,0.016
1.290,7.234,0.016
1.206,6.625,0.016
1.197,6.828,0.000
1.262,7.172,0.000
1.267,7.078,0.000
1.272,7.234,0.000
1.257,7.000,0.000
1.263,6.984,0.016
1.301,7.234,0.000
6,100000000,
1.119,6.281,0.000
1.093,6.250,0.000
1.208,6.969,0.016
1.243,6.797,0.016
1.159,6.531,0.000
1.240,7.063,0.000
1.075,5.953,0.000
1.234,6.844,0.031
1.190,6.828,0.000
1.188,6.625,0.000
7,1,
2.869,5.828,12.578
2.938,5.813,13.094
2.937,5.563,13.547
2.902,5.453,13.344
2.876,6.031,12.969
2.917,5.813,13.094
2.869,5.328,13.125
2.824,5.125,13.094
2.928,5.734,13.063
2.941,5.656,13.281
7,10,
1.188,6.781,0.922
1.281,7.734,0.734
1.213,7.000,0.922
1.193,6.875,0.875
1.204,6.672,1.234
1.256,7.219,1.078
1.154,5.906,1.141
1.190,6.875,0.859
1.198,6.766,1.078
1.193,6.734,1.063
7,100,
1.126,7.141,0.047
1.103,7.031,0.047
1.099,6.906,0.078
0.977,6.125,0.047
1.038,6.453,0.125
1.084,6.969,0.016
0.939,5.938,0.047
1.116,7.109,0.000
